Close,Close
ID,ID
[GLOBAL],[GLOBAL]
"-- Please Select --","-- Please Select --"
Status,Status
"Save and Continue Edit","Save and Continue Edit"
Type,Type
Rule,Rule
"Start on","Start on"
"End on","End on"
Active,Active
"Applies To","Applies To"
"This rule no longer exists.","This rule no longer exists."
"Use Config Settings","Use Config Settings"
"Product Attributes","Product Attributes"
"Related Products","Related Products"
Up-sells,Up-sells
Cross-sells,Cross-sells
"Edit Rule '%1'","Edit Rule '%1'"
"New Rule","New Rule"
"Rule Information","Rule Information"
"Rule Name","Rule Name"
Inactive,Inactive
"From Date","From Date"
"To Date","To Date"
Priority,Priority
"Conditions Combination","Conditions Combination"
"Apply To","Apply To"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"Please choose a condition to add.","Please choose a condition to add."
"Related Products Rule","Related Products Rule"
"Add Rule","Add Rule"
"Product Result Conditions (leave blank for matching all products)","Product Result Conditions (leave blank for matching all products)"
"Products to Display","Products to Display"
"Product Match Conditions (leave blank for matching all products)","Product Match Conditions (leave blank for matching all products)"
"Products to Match","Products to Match"
"General Rule Information","General Rule Information"
"Result Limit","Result Limit"
"Maximum number of products that can be matched by this Rule. Capped to 20.","Maximum number of products that can be matched by this Rule. Capped to 20."
"Product Rule Information","Product Rule Information"
"Undefined Catalog Product List Type","Undefined Catalog Product List Type"
"Related Products Rules","Related Products Rules"
"New Related Products Rule","New Related Products Rule"
"Please specify a correct rule.","Please specify a correct rule."
"You saved the rule.","You saved the rule."
"Invalid date.","Invalid date."
"An error occurred while saving Product Rule.","An error occurred while saving Product Rule."
"You deleted the rule.","You deleted the rule."
"We can't find a page to delete.","We can't find a page to delete."
"Invalid product list type","Invalid product list type"
"Invalid rotation mode type","Invalid rotation mode type"
"Product %1%2%3%4%5%6%7","Product %1%2%3%4%5%6%7"
"Constant Value","Constant Value"
"the Same as Matched Product Categories","the Same as Matched Product Categories"
"the Child of the Matched Product Categories","the Child of the Matched Product Categories"
"Matched Product %1","Matched Product %1"
"Target Product ","Target Product "
"Price (percentage)","Price (percentage)"
"Product Special","Product Special"
"equal to","equal to"
more,more
less,less
"Product Price is %1 %2% of Matched Product(s) Price","Product Price is %1 %2% of Matched Product(s) Price"
"Please define a product data object.","Please define a product data object."
"Target Rules","Target Rules"
"The product list type identifier is not defined.","The product list type identifier is not defined."
"Model class name for attribute is invalid","Model class name for attribute is invalid"
"This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter.","This attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscores (_), and be sure the code begins with a letter."
"Both Selected and Rule-Based","Both Selected and Rule-Based"
"Selected Only","Selected Only"
"Rule-Based Only","Rule-Based Only"
"Do not rotate","Do not rotate"
Shuffle,Shuffle
"Rule-based Settings","Rule-based Settings"
"Rule-based Positions","Rule-based Positions"
"Position Behavior","Position Behavior"
"Rule-Based Product Relations","Rule-Based Product Relations"
"Maximum Number of Products in Related Products List","Maximum Number of Products in Related Products List"
"Show Related Products","Show Related Products"
"Rotation Mode for Products in Related Product List","Rotation Mode for Products in Related Product List"
"Maximum Number of Products in Cross-Sell Product List","Maximum Number of Products in Cross-Sell Product List"
"Show Cross-Sell Products","Show Cross-Sell Products"
"Rotation Mode for Products in Cross-Sell Product List","Rotation Mode for Products in Cross-Sell Product List"
"Maximum Number of Products in Upsell Product List","Maximum Number of Products in Upsell Product List"
"Show Upsell Products","Show Upsell Products"
"Rotation Mode for Products in Upsell Product List","Rotation Mode for Products in Upsell Product List"
